,acc_diff,klx_diff,klxy_diff,clf,extra_state
0,0.01347935973041281,0.06560046782178136,0.276295955411306,LR,CA
1,0.015164279696714411,0.06560046782178136,0.276295955411306,GB,CA
2,0.01347935973041281,0.06560046782178136,0.276295955411306,XGB,CA
3,0.0008424599831508006,0.004227299381864752,0.09438800787040652,LR,HI
4,0.015164279696714411,0.004227299381864752,0.09438800787040652,GB,HI
5,0.023588879528222417,0.004227299381864752,0.09438800787040652,XGB,HI
6,0.004212299915754003,-0.003894202896367105,0.18410619088299027,LR,PA
7,0.010109519797809607,-0.003894202896367105,0.18410619088299027,GB,PA
8,0.020219039595619215,-0.003894202896367105,0.18410619088299027,XGB,PA
9,-0.0016849199663016012,0.002946142777420918,0.06375196518448184,LR,MI
10,0.011794439764111209,0.002946142777420918,0.06375196518448184,GB,MI
11,0.010109519797809607,0.002946142777420918,0.06375196518448184,XGB,MI
12,0.0008424599831508006,0.03361506152782624,0.0634711102804364,LR,GA
13,0.005897219882055604,0.03361506152782624,0.0634711102804364,GB,GA
14,0.005897219882055604,0.03361506152782624,0.0634711102804364,XGB,GA
15,-0.0033698399326032025,0.009841930994175616,0.17465095515205614,LR,MS
16,0.011794439764111209,0.009841930994175616,0.17465095515205614,GB,MS
17,-0.002527379949452402,0.009841930994175616,0.17465095515205614,XGB,MS
18,0.0008424599831508006,0.011839315409968673,0.19017277083193684,LR,OH
19,0.010951979780960408,0.011839315409968673,0.19017277083193684,GB,OH
20,0.01432181971356361,0.011839315409968673,0.19017277083193684,XGB,OH
21,0.0075821398483572056,0.01142162882448787,0.21643813674088253,LR,DE
22,0.015164279696714411,0.01142162882448787,0.21643813674088253,GB,DE
23,0.01600673967986521,0.01142162882448787,0.21643813674088253,XGB,DE
24,0.0016849199663016012,0.011489006796738074,0.08333257189922011,LR,AK
25,0.0075821398483572056,0.011489006796738074,0.08333257189922011,GB,AK
26,0.021903959561920816,0.011489006796738074,0.08333257189922011,XGB,AK
