clf,year,test_acc,disp,worst_g,size,run,KL_x,KL_xy,state,iter
GB,0.0,0.018689388867724088,-0.008143505932003192,0.008928479009856383,111127.0,0.0,0.3008647943476872,0.22396972376935106,OH,0
LR,0.0,0.0041390944342368785,-0.04272432302537854,0.03686375214644133,111127.0,0.0,0.3008647943476872,0.22396972376935106,OH,0
XGB,0.0,0.03379628289465453,0.00247706802693734,-0.0020963010773977775,111127.0,0.0,0.3008647943476872,0.22396972376935106,OH,0
GB,0.0,0.042416723237077014,-0.030596244584199295,0.009627825772718812,144381.0,0.0,0.2837177612438958,0.35910338864217134,DE,0
LR,0.0,0.034215752308796366,-0.01523514351161398,0.02732043145384211,144381.0,0.0,0.2837177612438958,0.35910338864217134,DE,0
XGB,0.0,0.04224684432423165,0.022553644146830712,-0.009108344025292037,144381.0,0.0,0.2837177612438958,0.35910338864217134,DE,0
GB,0.0,0.04625581966876613,-0.12200419234658472,0.07598268282684117,144967.0,0.0,0.20174350683394987,0.27010533827312705,AK,0
LR,0.0,0.05233922691375237,-0.17409870229754035,0.15066273858058576,144967.0,0.0,0.20174350683394987,0.27010533827312705,AK,0
XGB,0.0,0.048719418389398195,-0.16125777592431845,0.09064332417576049,144967.0,0.0,0.20174350683394987,0.27010533827312705,AK,0
GB,0.0,0.027105672485542076,0.008833316596651236,0.006282259020690351,142693.0,0.0,0.16040504124158173,0.234183831882527,HI,0
LR,0.0,0.025517932531622156,0.0182260910426406,0.012828765751027316,142693.0,0.0,0.16040504124158173,0.234183831882527,HI,0
XGB,0.0,0.029920463016680054,0.041924407106169306,-0.017787322023222862,142693.0,0.0,0.16040504124158173,0.234183831882527,HI,0
GB,0.0,0.08075610896982766,-0.0670384918043572,0.03306487720015561,144304.0,0.0,0.16755495386975272,0.3446991737082087,SD,0
LR,0.0,0.05335210568685589,-0.07790374239239925,0.044468360530865225,144304.0,0.0,0.16755495386975272,0.3446991737082087,SD,0
XGB,0.0,0.09317231432553097,-0.06940584194404714,0.04107633643204833,144304.0,0.0,0.16755495386975272,0.3446991737082087,SD,0
GB,0.0,0.02023857826812947,0.0033799068188015147,-0.015308850958750675,107228.0,0.0,0.2501046192672148,0.24430127389513104,PA,0
LR,0.0,0.01176553195505925,-0.02150018043871349,-0.007212571537779766,107228.0,0.0,0.2501046192672148,0.24430127389513104,PA,0
XGB,0.0,0.030484463332815404,0.008498896830665875,-0.023826199246576918,107228.0,0.0,0.2501046192672148,0.24430127389513104,PA,0
GB,0.0,0.01820661511592281,0.025708100457932842,-0.02066841504073691,118420.0,0.0,0.18973390367755066,0.25410769067021144,MI,0
LR,0.0,0.0034548952219839446,0.027500769773288997,-0.012248708875396863,118420.0,0.0,0.18973390367755066,0.25410769067021144,MI,0
XGB,0.0,0.030601537935763812,0.013866764212949384,-0.020692966790282208,118420.0,0.0,0.18973390367755066,0.25410769067021144,MI,0
GB,0.0,0.025669056705583393,-0.08514322246483155,0.05116305661433862,119051.0,0.0,0.23864840777876806,0.19882413178431896,GA,0
LR,0.0,0.01076764317213641,-0.08696916944366911,0.0416462683746609,119051.0,0.0,0.23864840777876806,0.19882413178431896,GA,0
XGB,0.0,0.03404494081007836,-0.036099513963444685,0.0027953538496495733,119051.0,0.0,0.23864840777876806,0.19882413178431896,GA,0
GB,0.0,0.04056012193122305,-0.048615547938728104,0.040877497307282074,139527.0,0.0,0.21926887241177026,0.28883812836734435,MS,0
LR,0.0,0.017806833401844413,-0.02775083222750188,0.027688483537388064,139527.0,0.0,0.21926887241177026,0.28883812836734435,MS,0
XGB,0.0,0.05307267598011833,-0.022905707564741,0.018315978695744528,139527.0,0.0,0.21926887241177026,0.28883812836734435,MS,0
